track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,artist_avg_streams,total_playlists,chart_appearances_count,key_A,key_A#,key_B,key_C#,key_D,key_D#,key_E,key_F,key_F#,key_G,key_G#,key_Unknown,mode_Major,mode_Minor,release_date
un x100to,"Bad Bunny, Grupo Frontera",0.4972817167765908,-0.2944366079791041,1.4305918046450612,-0.01494281208191336,-0.3103399710614964,3.025300143884605,-0.29310155014957384,1.5472505799399743,1.2338156566891314,-1.4099878885664998,-0.68177639958436,0.19467658578758124,0.4667486373437781,-0.15617137272663906,-0.18813199633449962,0.6411975094569571,-0.5178974257706019,-0.23293450790339415,-0.3010188373693476,1.204465457275986,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2023-04-17
Super Shy,NewJeans,-0.6230716545900549,-0.605326717916626,2.1972388467219552,-0.8046508003039216,-0.35663834182254933,2.966015906404715,-0.3223065822786838,0.38685613151056797,0.7063597468573036,0.9791935952416729,0.7543241250848106,0.024233970945537225,1.0712762962030071,-0.3486090740564646,-0.18813199633449962,-0.23445746046778151,-0.31603393016349207,-0.6346305991936606,-0.5805874482866574,1.204465457275986,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2023-07-07
Flowers,Miley Cyrus,-0.6230716545900549,0.8881873432298469,5.263827015029532,1.4168305082865713,2.687479535716681,3.2229142688175734,0.31843412261451676,9.172699812476072,6.127081326213317,-0.16190800896521557,0.27562395019508706,0.5781724691821802,0.22493757380008647,-0.8104595572480459,-0.18813199633449962,-1.11011243039252,-0.31603393016349207,1.0961899220035431,0.8532819106372892,1.204465457275986,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2023-01-12
Daylight,David Kushner,-0.6230716545900549,-0.21183662766970549,4.394960367342386,-0.2233953551546836,0.14106914385876967,2.0569909317130626,-0.17982142552757152,3.536498205818956,7.779352850987717,0.26600509261236766,-1.092090835204123,-0.8279791032646828,-1.2863815733479862,2.1530810432312673,-0.18813199633449962,-0.6722849454301508,-0.7197609213777119,-0.6382592859687741,-0.2091012571440257,1.204465457275986,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2023-04-14
As It Was,Harry Styles,-0.6230716545900549,2.3278593926715736,6.030474057106427,3.5284066308096707,3.8796625828137943,2.886970256431528,0.4228642375004251,7.183452186597089,-0.3612618537661551,1.8350197983968393,-1.0237050959341625,0.6207831228926913,0.527201403229701,0.26719157019897716,-0.18813199633449962,0.9330824994318699,-0.41696567796704703,0.43836208888559386,2.1534835796365006,0.41664419386897533,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2022-03-31
Kill Bill,SZA,-0.6230716545900549,0.3685169149642747,3.321654508434734,1.145434200410342,1.3332521909558828,2.175559406672843,-0.19840644597336876,1.5472505799399743,0.8271026659754328,-1.1960313377777083,-0.20307622469463646,-0.3592619124490618,0.527201403229701,-0.848947097514011,1.8343805933239135,-0.1614862129740533,-0.6188291735741569,-0.5718879426854551,0.31423412330857003,1.204465457275986,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2022-12-08
Cupid - Twin Ver.,Fifty Fifty,-0.6230716545900549,-0.286075260279073,3.321654508434734,-0.030608876201325717,0.26838966345166526,3.163630031337683,-0.2718615267829484,0.5526267670004832,-0.3612618537661551,-0.09058915870228504,0.7543241250848106,1.0468896599978013,-0.3191373191732197,0.6135794325926631,-0.18813199633449962,1.1519962419130545,-0.7197609213777119,-0.4812582826413078,-0.2853064304932242,0.41664419386897533,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2023-02-24
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,-0.6230716545900549,-0.5481908419664131,4.701619184173143,-0.8535570211469327,0.14106914385876967,3.4600512187371346,-0.2568165102315887,3.536498205818956,7.093024679158351,-1.5882850142238263,-1.5707910100938465,-1.594970870053881,-3.3417756134693652,2.6534190666888136,-0.18813199633449962,-0.5993136979364226,-0.7197609213777119,0.8061635142115738,-0.5168399689606711,1.204465457275986,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2023-07-13
Classy 101,"Feid, Young Miko",0.4972817167765908,-0.32813537295195694,1.4305918046450612,-0.3157926058759262,-0.28719078568096995,0.9503518320884421,-0.29310155014957384,1.8787918509198045,0.8271026659754328,-0.8037776613315903,1.3014100392444945,0.6633937766032023,0.10403204202824066,-0.502559235120325,-0.18813199633449962,-0.45337120294896616,0.5923518000685024,-0.5346040645122947,-0.3306479474786088,1.204465457275986,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2023-03-31
Like Crazy,Jimin,-0.6230716545900549,-0.583283164889271,2.861666283188597,-0.26611111382145963,-0.6923015298401831,1.0293974820616292,-0.320536580331465,-0.11045577495917751,-0.17697002984901045,-0.09058915870228504,-0.271461963964597,-0.6575364884226388,0.527201403229701,-1.0413847988438365,-0.18813199633449962,1.297938736900511,-0.6188291735741569,-0.7657542057198136,-0.5640894210667279,1.204465457275986,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2023-03-24
